287,237,1,0
359,309,1,0
281,231,1,0
-21,111,0,132
372,322,1,0
212,288,0,76
357,307,1,0
385,335,1,0
363,313,1,0
350,300,1,0
322,272,1,0
429,329,2,0
316,266,1,0
244,281,0,37
233,275,0,42
438,338,2,0
326,276,1,0
451,351,2,0
375,325,1,0
-10,120,0,130
327,277,1,0
438,338,2,0
325,275,1,0
358,308,1,0
379,329,1,0
460,353,2,7
357,307,1,0
401,301,2,0
331,281,1,0
81,168,0,87
344,294,1,0
331,281,1,0
438,338,2,0
438,338,2,0
263,296,0,33
451,351,2,0
438,338,2,0
283,307,0,24
272,306,0,34
338,288,1,0
427,327,2,0
396,296,2,0
248,268,0,20
438,338,2,0
372,322,1,0
438,338,2,0
379,329,1,0
331,281,1,0
347,297,1,0
235,278,0,43
206,238,0,32
-34,94,0,128
378,328,1,0
343,293,1,0
11,94,0,83
348,298,1,0
71,176,0,105
438,338,2,0
438,338,2,0
354,304,1,0
375,325,1,0
438,338,2,0
351,301,1,0
348,298,1,0
451,351,2,0
435,335,2,0
340,290,1,0
428,328,2,0
438,338,2,0
438,338,2,0
401,301,2,0
382,332,1,0
160,211,0,51
360,310,1,0
363,313,1,0
362,312,1,0
338,288,1,0
43,144,0,101
378,328,1,0
451,351,2,0
295,322,0,27
-24,109,0,133
107,138,0,31
438,338,2,0
451,351,2,0
357,307,1,0
388,338,1,0
412,312,2,0
212,262,0,50
438,338,2,0
415,315,2,0
432,332,2,0
234,266,0,32
438,338,2,0
435,335,2,0
357,307,1,0
320,270,1,0
356,306,1,0
435,335,2,0
451,351,2,0
297,247,1,0
351,301,1,0
84,166,0,82
379,329,1,0
372,322,1,0
385,335,1,0
382,332,1,0
351,301,1,0
385,335,1,0
410,310,2,0
451,351,2,0
331,281,1,0
411,311,2,0
435,335,2,0
339,289,1,0
189,238,0,49
356,306,1,0
363,313,1,0
388,338,1,0
181,267,0,86
435,335,2,0
350,300,1,0
5,135,0,130
364,314,1,0
340,290,1,0
411,311,2,0
438,338,2,0
331,281,1,0
401,351,1,0
337,287,1,0
324,274,1,0
345,295,1,0
385,335,1,0
295,322,0,27
379,329,1,0
319,269,1,0
376,326,1,0
438,338,2,0
438,338,2,0
205,232,0,27
451,351,2,0
435,335,2,0
316,266,1,0
344,294,1,0
438,338,2,0
373,323,1,0
130,212,0,82
438,338,2,0
92,171,0,79
352,302,1,0
